epi_year,provincia,distrito,epi_week,n
2023,CALLAO,BELLAVISTA,2,2
2023,CALLAO,BELLAVISTA,3,1
2023,CALLAO,BELLAVISTA,4,1
2023,CALLAO,BELLAVISTA,7,1
2023,CALLAO,BELLAVISTA,8,2
2023,CALLAO,BELLAVISTA,9,1
2023,CALLAO,BELLAVISTA,10,1
2023,CALLAO,BELLAVISTA,13,1
2023,CALLAO,BELLAVISTA,14,1
2023,CALLAO,BELLAVISTA,15,3
2023,CALLAO,BELLAVISTA,16,1
2023,CALLAO,BELLAVISTA,20,1
2023,CALLAO,BELLAVISTA,25,1
2023,CALLAO,BELLAVISTA,29,1
2023,CALLAO,BELLAVISTA,31,1
2023,CALLAO,BELLAVISTA,36,1
2023,CALLAO,BELLAVISTA,38,1
2023,CALLAO,BELLAVISTA,44,1
2023,CALLAO,BELLAVISTA,45,1
2023,CALLAO,BELLAVISTA,46,1
2023,CALLAO,BELLAVISTA,47,1
2023,CALLAO,CALLAO,1,1
2023,CALLAO,CALLAO,4,2
2023,CALLAO,CALLAO,5,1
2023,CALLAO,CALLAO,7,1
2023,CALLAO,CALLAO,9,1
2023,CALLAO,CALLAO,13,1
2023,CALLAO,CALLAO,16,1
2023,CALLAO,CALLAO,17,1
2023,CALLAO,CALLAO,31,1
2023,CALLAO,CALLAO,38,2
2023,CALLAO,CALLAO,39,1
2023,CALLAO,CALLAO,42,1
2023,CALLAO,CALLAO,46,1
2023,CALLAO,CALLAO,49,1
2023,CALLAO,CALLAO,51,2
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,2,1
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,32,1
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,43,1
2023,CALLAO,VENTANILLA,9,2
2023,CALLAO,VENTANILLA,10,1
2023,CALLAO,VENTANILLA,17,2
2023,CALLAO,VENTANILLA,39,1
2023,CALLAO,VENTANILLA,50,2
2023,LIMA,ANCON,51,1
2023,LIMA,ATE,1,1
2023,LIMA,ATE,2,2
2023,LIMA,ATE,5,1
2023,LIMA,ATE,17,1
2023,LIMA,ATE,19,1
2023,LIMA,ATE,20,1
2023,LIMA,ATE,37,1
2023,LIMA,ATE,39,1
2023,LIMA,ATE,40,1
2023,LIMA,CARABAYLLO,26,1
2023,LIMA,CHACLACAYO,8,1
2023,LIMA,CHACLACAYO,28,1
2023,LIMA,CHORRILLOS,10,1
2023,LIMA,COMAS,2,1
2023,LIMA,COMAS,7,1
2023,LIMA,COMAS,12,2
2023,LIMA,COMAS,24,1
2023,LIMA,COMAS,31,1
2023,LIMA,COMAS,32,2
2023,LIMA,COMAS,39,1
2023,LIMA,COMAS,41,1
2023,LIMA,COMAS,42,1
2023,LIMA,COMAS,43,1
2023,LIMA,COMAS,45,1
2023,LIMA,COMAS,52,1
2023,LIMA,EL AGUSTINO,2,1
2023,LIMA,EL AGUSTINO,20,1
2023,LIMA,EL AGUSTINO,33,1
2023,LIMA,EL AGUSTINO,39,1
2023,LIMA,EL AGUSTINO,45,1
2023,LIMA,EL AGUSTINO,50,1
2023,LIMA,EL AGUSTINO,52,1
2023,LIMA,JESUS MARIA,35,1
2023,LIMA,LA MOLINA,10,1
2023,LIMA,LA MOLINA,43,1
2023,LIMA,LA MOLINA,44,1
2023,LIMA,LA MOLINA,46,1
2023,LIMA,LA VICTORIA,3,1
