provincia,distrito,anio,mes,n
CALLAO,BELLAVISTA,2023,1,4
CALLAO,BELLAVISTA,2023,2,4
CALLAO,BELLAVISTA,2023,3,2
CALLAO,BELLAVISTA,2023,4,5
CALLAO,BELLAVISTA,2023,5,1
CALLAO,BELLAVISTA,2023,6,1
CALLAO,BELLAVISTA,2023,7,1
CALLAO,BELLAVISTA,2023,8,1
CALLAO,BELLAVISTA,2023,9,2
CALLAO,BELLAVISTA,2023,11,4
CALLAO,BELLAVISTA,2024,1,4
CALLAO,BELLAVISTA,2024,2,2
CALLAO,BELLAVISTA,2024,3,3
CALLAO,BELLAVISTA,2024,4,4
CALLAO,BELLAVISTA,2024,5,3
CALLAO,BELLAVISTA,2024,7,2
CALLAO,BELLAVISTA,2024,8,1
CALLAO,BELLAVISTA,2024,9,1
CALLAO,BELLAVISTA,2024,10,4
CALLAO,BELLAVISTA,2024,11,2
CALLAO,BELLAVISTA,2024,12,3
CALLAO,BELLAVISTA,2025,1,4
CALLAO,BELLAVISTA,2025,2,5
CALLAO,BELLAVISTA,2025,3,2
CALLAO,BELLAVISTA,2025,4,4
CALLAO,BELLAVISTA,2025,5,1
CALLAO,BELLAVISTA,2025,6,3
CALLAO,BELLAVISTA,2025,7,2
CALLAO,BELLAVISTA,2025,8,3
CALLAO,BELLAVISTA,2025,9,2
CALLAO,BELLAVISTA,2025,10,4
CALLAO,BELLAVISTA,2025,11,1
CALLAO,CALLAO,2023,1,3
CALLAO,CALLAO,2023,2,2
CALLAO,CALLAO,2023,3,2
CALLAO,CALLAO,2023,4,2
CALLAO,CALLAO,2023,7,1
CALLAO,CALLAO,2023,9,3
CALLAO,CALLAO,2023,10,1
CALLAO,CALLAO,2023,11,1
CALLAO,CALLAO,2023,12,3
CALLAO,CALLAO,2024,1,2
CALLAO,CALLAO,2024,2,2
CALLAO,CALLAO,2024,4,2
CALLAO,CALLAO,2024,5,1
CALLAO,CALLAO,2024,7,4
CALLAO,CALLAO,2024,8,3
CALLAO,CALLAO,2024,9,2
CALLAO,CALLAO,2024,10,2
CALLAO,CALLAO,2024,11,3
CALLAO,CALLAO,2024,12,3
CALLAO,CALLAO,2025,1,2
CALLAO,CALLAO,2025,2,1
CALLAO,CALLAO,2025,3,2
CALLAO,CALLAO,2025,4,1
CALLAO,CALLAO,2025,6,1
CALLAO,CALLAO,2025,9,5
CALLAO,CALLAO,2025,12,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2023,1,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2023,8,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2023,10,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2024,11,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2025,4,1
CALLAO,CARMEN DE LA LEGUA REYNOSO,2025,8,1
CALLAO,LA PERLA,2024,1,1
CALLAO,LA PERLA,2024,9,1
CALLAO,LA PERLA,2025,2,1
CALLAO,LA PERLA,2025,7,1
CALLAO,LA PERLA,2025,10,1
CALLAO,MI PERU,2024,3,1
CALLAO,MI PERU,2024,12,1
CALLAO,VENTANILLA,2023,3,3
CALLAO,VENTANILLA,2023,4,2
CALLAO,VENTANILLA,2023,9,1
CALLAO,VENTANILLA,2023,12,2
CALLAO,VENTANILLA,2024,2,3
CALLAO,VENTANILLA,2024,3,2
CALLAO,VENTANILLA,2024,5,1
CALLAO,VENTANILLA,2024,6,1
CALLAO,VENTANILLA,2024,8,1
CALLAO,VENTANILLA,2024,10,1
CALLAO,VENTANILLA,2024,11,1
CALLAO,VENTANILLA,2024,12,3
CALLAO,VENTANILLA,2025,1,2
CALLAO,VENTANILLA,2025,2,1
CALLAO,VENTANILLA,2025,4,3
CALLAO,VENTANILLA,2025,5,5
CALLAO,VENTANILLA,2025,6,1
CALLAO,VENTANILLA,2025,7,5
CALLAO,VENTANILLA,2025,8,2
CALLAO,VENTANILLA,2025,9,1
CALLAO,VENTANILLA,2025,10,1
CALLAO,VENTANILLA,2025,11,1
LIMA,ANCON,2023,12,1
LIMA,ANCON,2024,2,1
LIMA,ANCON,2024,7,1
LIMA,ANCON,2024,9,1
LIMA,ANCON,2025,6,1
LIMA,ATE,2023,1,3
LIMA,ATE,2023,2,1
LIMA,ATE,2023,4,1
LIMA,ATE,2023,5,2
LIMA,ATE,2023,9,2
LIMA,ATE,2023,10,1
LIMA,ATE,2024,2,2
LIMA,ATE,2024,3,2
LIMA,ATE,2024,4,1
LIMA,ATE,2024,5,2
LIMA,ATE,2024,6,2
LIMA,ATE,2024,8,1
LIMA,ATE,2024,11,2
LIMA,ATE,2024,12,2
LIMA,ATE,2025,3,2
LIMA,ATE,2025,5,1
LIMA,ATE,2025,6,1
