año,provincia,distrito,n,poblacion,tasa_100K
2023,CALLAO,BELLAVISTA,25,83085,30.089667208280677
2023,CALLAO,CALLAO,18,537377,3.3496037232706275
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,3,48259,6.216457033921134
2023,CALLAO,VENTANILLA,8,397026,2.014981386609441
2023,LIMA,ANCON,1,91170,1.0968520346605244
2023,LIMA,ATE,10,713103,1.4023219647091654
2023,LIMA,CARABAYLLO,1,426985,0.23420026464629906
2023,LIMA,CHACLACAYO,2,46225,4.3266630611141155
2023,LIMA,CHORRILLOS,1,373332,0.2678580994932125
2023,LIMA,COMAS,14,598263,2.34010794583653
2023,LIMA,EL AGUSTINO,7,233757,2.9945627296722663
2023,LIMA,JESUS MARIA,1,86899,1.1507612285526876
2023,LIMA,LA MOLINA,4,168839,2.3691208784700217
2023,LIMA,LA VICTORIA,2,195620,1.022390348635109
2023,LIMA,LIMA,4,276482,1.446748793773193
2023,LIMA,LOS OLIVOS,4,366751,1.0906582395140028
2023,LIMA,LURIGANCHO,3,303966,0.9869524881072225
2023,LIMA,LURIN,1,115330,0.8670770831526923
2023,LIMA,MIRAFLORES,2,116526,1.716355148207267
2023,LIMA,PACHACAMAC,6,153189,3.9167303135342615
2023,LIMA,PUCUSANA,1,17885,5.591277606933184
2023,LIMA,PUENTE PIEDRA,7,416531,1.680547186163815
2023,LIMA,RIMAC,2,187462,1.0668828882653552
2023,LIMA,SAN ISIDRO,1,71039,1.4076774729374006
2023,LIMA,SAN JUAN DE LURIGANCHO,25,1240489,2.0153342754349293
2023,LIMA,SAN JUAN DE MIRAFLORES,8,430772,1.8571309184440956
2023,LIMA,SAN LUIS,1,58001,1.7241082050309477
2023,LIMA,SAN MARTIN DE PORRES,17,782075,2.173704567976217
2023,LIMA,SAN MIGUEL,4,183597,2.1786848368982064
2023,LIMA,SANTA ANITA,5,232739,2.1483292443466717
2023,LIMA,SANTIAGO DE SURCO,1,426758,0.23432483983897198
2023,LIMA,SURQUILLO,1,104832,0.953907203907204
2023,LIMA,VILLA EL SALVADOR,15,441794,3.395247558817005
2023,LIMA,VILLA MARIA DEL TRIUNFO,9,459010,1.9607415960436592
2024,CALLAO,BELLAVISTA,29,87669,33.07896747995301
2024,CALLAO,CALLAO,24,539729,4.44667601703818
2024,CALLAO,CARMEN DE LA LEGUA REYNOSO,1,49226,2.031446796408402
2024,CALLAO,LA PERLA,2,67062,2.9823148728042708
2024,CALLAO,MI PERU,2,55851,3.580956473474065
2024,CALLAO,VENTANILLA,13,395836,3.284188401257086
2024,LIMA,ANCON,3,94972,3.158825759171124
2024,LIMA,ATE,14,717784,1.9504474883809058
2024,LIMA,CARABAYLLO,4,431555,0.9268806988680469
2024,LIMA,CHORRILLOS,1,373550,0.26770178021683844
2024,LIMA,CIENEGUILLA,1,43119,2.319163245900879
2024,LIMA,COMAS,21,599326,3.503936088205751
2024,LIMA,EL AGUSTINO,12,231524,5.183047977747448
2024,LIMA,INDEPENDENCIA,2,229142,0.8728212200295014
2024,LIMA,JESUS MARIA,1,90682,1.1027546811936217
2024,LIMA,LA MOLINA,1,167439,0.597232424942815
2024,LIMA,LA VICTORIA,4,188899,2.117533708489722
2024,LIMA,LIMA,18,268044,6.715315395979765
2024,LIMA,LOS OLIVOS,4,365770,1.093583399403997
2024,LIMA,LURIGANCHO,1,310087,0.3224901398639737
2024,LIMA,LURIN,1,115412,0.8664610265830243
2024,LIMA,MIRAFLORES,2,114830,1.741705129321606
2024,LIMA,PACHACAMAC,4,156561,2.5549146977855277
2024,LIMA,PUEBLO LIBRE,1,98553,1.0146824551256683
2024,LIMA,PUENTE PIEDRA,12,417134,2.8767734109422873
2024,LIMA,PUNTA HERMOSA,1,23903,4.183575283437225
2024,LIMA,RIMAC,1,184114,0.543141749133689
2024,LIMA,SAN ISIDRO,1,73034,1.3692252923296
