debido,causa
CARCINOMA EPIDERMOIDE DE LENGUA DE PAFTE NO ESPECIFICADA METASTASICO,C029
NO SE EVIDENCIA SIGNOS DE AGRESION NI VIOLENCIA FISICA. SE OBSERVA SIGNOS DE DESHIDRATACION APARENTEMENTE RELACIONADO A ENFERMEDAD DIARREICA REFERIDA POR FAMILIARES,E86X
TRASTORNO MIXTO DE BALACE ACIDO BASICO,E874
PARAPLEJIA POR PAF,G822
PERITONITIS BACTERIANA SECUNDARIA A HERIDA POR PAF,K659
LESIONES DE ULCERAS ABDOMINAL POR PAF,L890
FALLA MULTIORGANICA X PAF,R278
SHOCK HIPOVOLEMICO DEBIDO A PAF,R571
CHOQUE HIPOVOLEMICO POR PAF,R571
SHOCK HIPOVOLEMICO POR PROYECTIL DE ARMA DE FUEGO PAF,R571
SHOCK HIPOVOLEMICO POR PAF,R572
SHOCK HIPOVOLEMICO POR PAF,R578
INDETERMINADO NO VIOLENTO,R961
MUERTE POR CAUSA CONOCIDA COMO NO VIOLENTOM CAUSA DESCONOCIDA,R961
MUERTE VIOLENTA,R99X
CAUSA DE MUERTE DESCONOCIDA NO SE ENCONTRO SIGNOS DE VIOLENCIA EXTERNA.,R99X
CAUSA INDETERMINADA SIN SIGNOS DE VIOLENCIA,R99X
TEC CERRADO POR PAF,S008
HERIDAS PERFORANTE POR PAF EN CABEZA TÓRAX Y ABDOMEN,S018
TRAUMATISMO CRANEO ENCEFALICO SEVERO POR PAF,S019
TRAUMA CRANEAL POR PAF,S019
TRAUMATISMO CRANEAL MULTIPLE POR PAF,S019
TRAUMATISMO CRANEAL SEVERO POR PAF,S019
FRACTURA DE BOVEDA DE CRANEO POR PAF,S020
TRAUMATISMO ENCÉFALO CRANEANO ABIERTO POR PAF,S061
TRAUMATISMO CRANEO ENCEFALICO ABIERTO DEBIDO A PAF,S062
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,S062
LACERACION CEREBRAL POR PAF,S063
TRAUMATISMO CRÁNEO ENCEFÁLICO ABIERTO POR PAF,S068
TRAUMATISMO ENCEFALO CRANEANO SEVERO POR PAF,S068
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,S068
